,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
59,284_bb953_default.xml,37,10,Ø,4.06,2.41,95.93,3.65,2.4,4.32,95.67,1499,30,1,6,1530,1535
60,page_00493.xml,49,26,Ø,13.26,3.85,86.73,12.24,3.8,5.79,94.2,1238,26,8,15,1272,1279
61,53_8f47b_default.xml,24,27,Ø,23.07,3.13,76.92,18.8,3.12,4.4,95.59,745,10,11,3,766,758
62,2012901.xml,31,16,Ø,8.93,2.61,91.06,8.37,2.6,4.01,95.98,1158,17,12,2,1187,1177
63,2012908.xml,12,12,Ø,16.66,2.41,83.33,15.97,2.39,3.78,96.21,488,7,2,3,497,498
64,57_1757c_default.xml,94,51,Ø,32.07,8.39,67.92,25.47,8.28,13.07,86.92,1040,57,23,14,1120,1111
65,page_00055.xml,41,13,651,6.73,3.39,93.26,6.73,3.37,5.71,94.28,1173,29,6,6,1208,1208
66,32_0ccc5_default.xml,7,10,Ø,6.32,0.75,93.67,5.06,0.75,1.08,98.91,916,3,3,1,922,920
67,39.xml,10,8,25,5.97,1.42,94.02,5.97,1.42,2.55,97.44,692,8,1,1,701,701
68,55.xml,20,13,Ø,9.62,2.58,90.37,9.62,2.56,4.2,95.79,760,13,1,6,774,779
69,46.xml,26,17,Ø,12.97,3.64,87.02,12.97,3.6,5.5,94.49,696,14,4,8,714,718
70,page_102.xml,15,16,Ø,12.69,1.89,87.3,11.5,1.89,2.77,97.22,776,7,7,1,790,784
71,101.xml,3,3,Ø,6.81,1.28,93.18,6.81,1.28,2.13,97.86,230,2,1,0,233,232
72,201.xml,3,3,3,5.88,0.92,94.11,5.88,0.92,1.84,98.15,320,3,0,0,323,323
73,page_103.xml,16,13,Ø,10.74,1.96,89.25,9.91,1.96,3.17,96.82,799,10,5,1,814,810
75,2012940.xml,30,15,Ø,5.88,1.84,94.11,5.49,1.84,3.17,96.82,1597,22,5,3,1624,1622
77,235.xml,26,22,Ø,11.0,2.4,89.0,11.0,2.39,4.02,95.97,1061,18,2,6,1081,1085
78,84_bab49_default.xml,29,21,Ø,12.28,2.49,87.71,11.98,2.48,4.01,95.98,1136,18,7,4,1161,1158
79,88.xml,16,12,Ø,8.69,1.94,91.3,8.33,1.93,3.13,96.86,809,10,2,4,821,823
82,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_18.xml,13,11,1178,5.26,0.93,94.73,5.02,0.93,1.57,98.42,1377,9,2,2,1388,1388
83,71.xml,8,7,Ø,8.75,1.67,91.25,8.75,1.67,2.91,97.08,470,6,2,0,478,476
85,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_22.xml,16,16,Ø,7.76,1.15,92.23,7.52,1.15,1.65,98.34,1372,7,8,1,1387,1380
86,121.xml,5,5,Ø,9.25,1.45,90.74,9.25,1.45,2.31,97.68,339,3,2,0,344,342
87,27_9c54d_default.xml,9,11,Ø,7.74,0.97,92.25,6.69,0.97,1.4,98.59,917,4,4,1,925,922
88,2012991.xml,32,11,Ø,4.68,2.1,95.31,4.46,2.09,3.71,96.28,1493,25,4,3,1522,1521
90,2122892.xml,12,11,Ø,6.96,1.16,93.03,6.32,1.16,1.74,98.25,1016,6,5,1,1027,1023
91,228.xml,15,11,Ø,7.38,1.74,92.61,7.38,1.73,2.99,97.0,849,11,1,3,861,863
92,115.xml,3,3,Ø,5.35,0.85,94.64,5.35,0.85,1.13,98.86,349,1,0,2,350,352
93,2012887.xml,17,12,Ø,9.3,2.0,90.69,8.52,2.0,3.17,96.82,831,10,6,1,847,842
94,495_2893e_default.xml,25,15,338,6.66,1.73,93.33,6.44,1.73,3.17,96.82,1415,21,2,2,1438,1438
96,2012959.xml,20,17,Ø,7.79,1.46,92.2,6.65,1.45,2.39,97.6,1351,13,2,5,1366,1369
98,2012973.xml,57,21,Ø,8.64,3.59,91.35,7.4,3.58,6.38,93.61,1535,46,5,6,1586,1587
100,23_81ab9_default.xml,8,10,Ø,10.2,1.18,89.79,8.67,1.18,1.92,98.07,665,5,3,0,673,670
102,205.xml,2,2,2,3.5,0.59,96.49,3.5,0.59,1.18,98.81,334,2,0,0,336,336
103,77.xml,17,13,Ø,11.4,2.5,88.59,10.96,2.48,3.93,96.06,666,10,4,3,680,679
104,103.xml,5,3,Ø,4.76,1.41,95.23,3.96,1.41,2.25,97.74,349,3,2,0,354,352
105,2012905.xml,24,24,Ø,14.54,2.16,85.45,13.93,2.16,3.67,96.32,1083,17,7,0,1107,1100
106,2012907.xml,83,28,Ø,15.9,7.19,84.09,14.2,7.16,12.98,87.01,1076,72,5,6,1153,1154
107,89_ddfff_default.xml,45,43,Ø,25.0,4.52,75.0,20.63,4.51,6.19,93.8,952,17,26,2,995,971
109,36_f33c6_default.xml,9,10,Ø,7.35,1.0,92.64,5.88,1.0,1.34,98.65,883,3,6,0,892,886
111,00000175.xml,15,12,Ø,8.75,1.64,91.24,8.75,1.63,2.82,97.17,900,11,1,3,912,914
112,2012951.xml,19,13,Ø,5.57,1.21,94.42,5.57,1.21,1.72,98.27,1542,8,8,3,1558,1553
113,67.xml,8,5,Ø,5.55,1.67,94.44,5.55,1.66,2.9,97.09,472,6,0,2,478,480
114,2012953.xml,11,11,Ø,4.52,0.71,95.47,4.52,0.71,1.17,98.82,1519,7,3,1,1529,1527
115,85_1dd5a_default.xml,35,31,Ø,17.31,2.92,82.68,15.64,2.9,4.22,95.77,1169,16,12,7,1197,1192
116,2012968.xml,30,18,Ø,8.25,2.08,91.74,7.33,2.08,3.51,96.48,1412,21,7,2,1440,1435
117,23_7c58b_default.xml,52,41,Ø,20.81,3.82,79.18,19.28,3.79,5.73,94.26,1317,27,16,9,1360,1353
118,6289387.xml,47,30,Ø,14.63,3.62,85.36,12.43,3.61,6.08,93.91,1254,33,8,6,1295,1293
119,56_0c02b_default.xml,15,19,Ø,16.66,2.02,83.33,14.47,2.02,2.82,97.17,727,6,7,2,740,735
120,2012931.xml,34,19,Ø,7.39,2.17,92.6,7.0,2.17,3.55,96.44,1532,22,11,1,1565,1555
121,21_4c490_default.xml,31,32,Ø,16.24,2.26,83.75,14.72,2.26,3.13,96.86,1340,12,15,4,1367,1356
124,233.xml,11,8,Ø,4.49,1.11,95.5,4.49,1.11,1.81,98.18,976,7,1,3,984,986
125,167.xml,7,6,Ø,10.52,2.12,89.47,10.52,2.12,3.9,96.09,323,6,0,1,329,330
126,17_ced85_default.xml,11,9,Ø,6.25,1.21,93.75,5.9,1.2,1.97,98.02,900,7,1,3,908,910
127,161.xml,6,5,6,8.47,1.79,91.52,8.47,1.79,3.56,96.43,328,6,0,0,334,334
128,2012918.xml,33,13,Ø,9.09,3.48,90.9,7.69,3.47,6.33,93.66,917,28,1,4,946,949
130,78_3ccff_default.xml,17,19,Ø,10.85,1.45,89.14,9.42,1.45,2.13,97.86,1152,8,6,3,1166,1163
131,61_b0375_default.xml,28,27,Ø,15.0,2.36,85.0,12.77,2.35,3.43,96.56,1161,13,10,5,1184,1179
132,38.xml,17,14,Ø,13.08,2.73,86.91,12.61,2.71,4.44,95.55,609,11,1,5,621,625
133,111.xml,2,2,2,3.07,0.57,96.92,3.07,0.57,1.14,98.85,345,2,0,0,347,347
134,91.xml,6,5,Ø,3.06,0.69,96.93,3.06,0.69,1.04,98.95,857,3,2,1,862,861
135,75_91fbf_default.xml,20,20,Ø,11.17,1.71,88.82,10.33,1.7,2.64,97.35,1150,11,6,3,1167,1164
136,2012943.xml,31,17,Ø,7.02,2.01,92.97,6.19,2.01,3.42,96.57,1509,22,5,4,1536,1535
137,38_21492_default.xml,36,39,Ø,20.2,2.7,79.79,18.91,2.7,3.89,96.1,1296,16,17,3,1329,1315
139,2012895.xml,59,11,Ø,6.25,5.1,93.75,5.68,5.09,9.61,90.38,1100,55,1,3,1156,1158
140,43.xml,17,15,Ø,10.27,2.04,89.72,9.93,2.03,3.21,96.78,819,10,3,4,832,833
141,31_6add3_default.xml,2,2,Ø,3.92,0.62,96.07,3.92,0.62,0.94,99.05,316,1,1,0,318,317
142,64_c564d_default.xml,32,25,Ø,13.73,2.71,86.26,12.91,2.7,4.11,95.88,1153,17,10,5,1180,1175
143,2012979.xml,23,22,1223,9.09,1.51,90.9,8.05,1.5,2.09,97.9,1505,9,7,7,1521,1521
144,77_6fdbc_default.xml,48,35,Ø,20.34,4.31,79.65,18.02,4.28,6.48,93.51,1071,25,16,7,1112,1103
145,5_303bf_default.xml,10,15,Ø,10.13,1.07,89.86,7.77,1.07,1.29,98.7,916,2,8,0,926,918
146,2012982.xml,12,13,Ø,5.37,0.74,94.62,4.95,0.74,0.99,99.0,1597,4,7,1,1608,1602
147,78.xml,9,8,22,6.95,1.39,93.04,6.95,1.39,2.46,97.53,638,7,1,1,646,646
148,107.xml,2,2,2,3.12,0.56,96.87,3.12,0.56,1.12,98.87,354,2,0,0,356,356
149,2012919.xml,139,72,Ø,33.8,10.91,66.19,31.45,10.44,15.05,84.94,1192,64,18,57,1274,1313
150,80.xml,8,7,578,5.46,1.12,94.53,5.07,1.12,1.68,98.31,704,4,2,2,710,710
152,2_2a0e6_default.xml,72,23,Ø,54.76,26.18,45.23,45.23,26.18,36.23,63.76,203,32,40,0,275,235
153,4_3fb60_default.xml,15,15,Ø,12.6,1.94,87.39,10.5,1.93,2.7,97.29,760,6,7,2,773,768
154,41_7c437_default.xml,32,33,Ø,16.58,2.31,83.41,15.07,2.3,3.31,96.68,1354,14,13,5,1381,1373
155,18_0f91d_default.xml,66,62,Ø,30.69,4.71,69.3,27.47,4.68,7.1,92.89,1344,35,22,9,1401,1388
158,40_4beb9_default.xml,37,35,Ø,17.94,2.71,82.05,16.92,2.7,3.86,96.13,1330,16,17,4,1363,1350
159,47.xml,33,21,Ø,16.66,5.06,83.33,16.66,5.0,7.94,92.05,627,20,4,9,651,656
160,63.xml,14,10,394,8.26,2.1,91.73,7.85,2.09,3.28,96.71,654,8,3,3,665,665
161,6_31df9_default.xml,7,8,Ø,5.26,0.68,94.73,4.6,0.68,0.97,99.02,1015,3,4,0,1022,1018
162,51.xml,8,6,Ø,4.34,1.08,95.65,4.34,1.08,1.88,98.11,731,6,0,2,737,739
163,319_9ddef_default.xml,4,5,1043,2.23,0.25,97.76,2.0,0.25,0.38,99.61,1548,2,1,1,1551,1551
164,40.xml,4,5,Ø,5.43,0.73,94.56,4.89,0.73,1.28,98.71,539,3,0,1,542,543
165,33_425fa_default.xml,30,19,Ø,7.85,2.0,92.14,7.02,1.99,3.04,96.95,1474,16,10,4,1500,1494
166,33_8aee8_default.xml,9,12,Ø,8.45,0.98,91.54,7.04,0.98,1.31,98.68,903,3,5,1,911,907
168,151.xml,5,5,Ø,8.62,1.5,91.37,8.62,1.49,2.68,97.31,329,4,0,1,333,334
169,21_11ee5_default.xml,10,12,Ø,8.27,1.07,91.72,7.58,1.07,1.93,98.06,917,8,2,0,927,925
170,29_1f1e2_default.xml,39,37,Ø,19.57,2.97,80.42,17.19,2.96,4.17,95.82,1275,16,18,5,1309,1296
172,203.xml,4,4,4,6.55,1.17,93.44,6.55,1.17,2.33,97.66,336,4,0,0,340,340
173,2_4bf64_default.xml,23,11,Ø,68.75,19.65,31.25,62.5,19.16,28.83,71.16,97,13,7,3,117,113
174,21.xml,22,15,Ø,10.06,2.84,89.93,10.06,2.82,4.59,95.4,757,14,3,5,774,776
175,2012977.xml,36,29,Ø,12.55,2.54,87.44,11.25,2.54,4.27,95.72,1380,25,7,4,1412,1409
177,195.xml,10,7,Ø,11.66,2.83,88.33,11.66,2.8,4.73,95.26,346,7,0,3,353,356
178,19_2c887_default.xml,60,47,Ø,23.61,4.41,76.38,22.36,4.36,6.79,93.2,1313,34,12,14,1359,1361
179,22_047ba_default.xml,37,38,Ø,19.48,2.74,80.51,17.43,2.74,4.27,95.72,1311,21,14,2,1346,1334
180,486_8a0e8_default.xml,36,21,Ø,10.44,2.59,89.55,9.45,2.58,4.55,95.44,1358,28,3,5,1389,1391
181,181.xml,6,6,Ø,9.52,1.73,90.47,9.52,1.73,3.15,96.84,340,5,1,0,346,345
183,94.xml,22,18,Ø,12.94,2.77,87.05,12.94,2.75,4.6,95.39,776,15,3,4,794,795
184,59_33b44_default.xml,31,30,Ø,17.75,2.69,82.24,16.56,2.68,4.13,95.86,1125,17,9,5,1151,1147
185,207.xml,9,9,9,14.75,2.54,85.24,14.75,2.54,5.02,94.97,345,9,0,0,354,354
186,2012945.xml,15,13,Ø,5.6,1.04,94.39,5.6,1.04,1.8,98.19,1422,11,4,0,1437,1433
187,4_6c6d2_default.xml,10,8,Ø,6.25,1.18,93.75,6.25,1.18,1.88,98.11,837,6,3,1,846,844
188,44_745b2_default.xml,35,29,Ø,15.1,2.54,84.89,14.06,2.53,3.83,96.16,1343,18,12,5,1373,1366
190,6_32167_default.xml,39,18,Ø,10.28,3.42,89.71,9.42,3.41,6.13,93.86,1104,32,2,5,1138,1141
191,v2_bsb10149493_00618_full_1161__0_default.xml,72,47,Ø,11.19,2.51,88.8,10.47,2.5,4.08,95.91,2798,46,16,10,2860,2854
192,38_94fa7_default.xml,13,16,Ø,12.03,1.46,87.96,10.9,1.46,2.14,97.85,873,6,6,1,885,880
193,2012950.xml,10,12,Ø,6.55,0.85,93.44,5.73,0.85,1.27,98.72,1165,5,4,1,1174,1171
194,2012997.xml,15,17,Ø,7.23,0.95,92.76,6.59,0.95,1.33,98.66,1555,6,7,2,1568,1563
195,2012927.xml,8,11,Ø,4.68,0.55,95.31,4.04,0.55,0.69,99.3,1428,2,4,2,1434,1432
196,117.xml,9,6,Ø,9.23,2.76,90.76,9.23,2.75,4.84,95.15,318,7,0,2,325,327
197,page_106.xml,16,10,Ø,8.06,1.98,91.93,8.06,1.98,2.96,97.03,790,8,8,0,806,798
198,13982731.xml,27,28,Ø,14.21,2.09,85.78,13.7,2.09,3.92,96.07,1262,24,3,0,1289,1286
199,2013000.xml,5,5,Ø,2.18,0.34,97.81,1.96,0.34,0.48,99.51,1436,2,2,1,1440,1439
200,98.xml,26,21,Ø,13.81,3.2,86.18,13.48,3.18,5.46,94.53,790,19,2,5,811,814
201,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_17.xml,5,7,Ø,3.21,0.35,96.78,2.75,0.35,0.42,99.57,1409,1,3,1,1413,1411
202,page_00008.xml,32,16,Ø,8.69,2.57,91.3,7.6,2.56,4.45,95.54,1216,24,3,5,1243,1245
203,14_8e3a0_default.xml,9,7,Ø,5.26,1.0,94.73,4.13,1.0,1.22,98.77,889,2,2,5,893,896
204,14.xml,10,8,166,5.06,1.13,94.93,5.06,1.13,1.8,98.19,872,6,2,2,880,880
205,59_e1ba8_default.xml,16,11,287,11.34,2.25,88.65,9.79,2.23,2.8,97.19,699,4,6,6,709,709
206,45_b007d_default.xml,13,15,Ø,11.71,1.52,88.28,10.15,1.51,1.98,98.01,845,4,5,4,854,853
207,145.xml,7,7,7,11.29,2.04,88.7,11.29,2.04,4.05,95.94,335,7,0,0,342,342
211,2012949.xml,19,19,Ø,8.79,1.35,91.2,8.33,1.35,2.2,97.79,1382,12,7,0,1401,1394
212,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_13.xml,15,14,Ø,7.25,1.17,92.74,6.73,1.17,1.64,98.35,1259,6,7,2,1272,1267
213,58.xml,9,9,Ø,11.39,2.04,88.6,10.75,2.03,3.36,96.63,434,6,1,2,441,442
214,29_680d5_default.xml,21,19,Ø,13.47,2.28,86.52,12.05,2.27,3.35,96.64,902,10,6,5,918,917
215,2012893.xml,15,16,Ø,8.98,1.25,91.01,8.42,1.25,2.08,97.91,1181,10,5,0,1196,1191
218,41_4e2b7_default.xml,15,18,Ø,12.16,1.55,87.83,9.79,1.55,1.96,98.03,950,4,9,2,963,956
219,23.xml,6,5,246,3.49,0.75,96.5,3.49,0.75,1.26,98.73,786,4,1,1,791,791
220,81_4af17_default.xml,46,32,Ø,16.24,3.82,83.75,14.97,3.8,5.75,94.24,1163,24,16,6,1203,1193
222,2012978.xml,51,36,Ø,14.87,3.26,85.12,13.01,3.25,5.25,94.74,1518,32,12,7,1562,1557
223,2012952.xml,23,14,Ø,5.76,1.47,94.23,5.14,1.47,2.48,97.51,1539,16,5,2,1560,1557
224,2012958.xml,17,17,Ø,6.8,1.05,93.19,5.8,1.05,1.54,98.45,1600,8,7,2,1615,1610
225,204_89ed9_default.xml,43,36,Ø,18.75,3.44,81.25,16.66,3.44,5.71,94.28,1206,29,13,1,1248,1236
226,217.xml,2,2,2,3.57,0.59,96.42,3.57,0.59,1.17,98.82,336,2,0,0,338,338
227,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_24.xml,12,9,Ø,4.28,0.85,95.71,3.8,0.85,1.41,98.58,1396,8,4,0,1408,1404
229,1535.xml,15,15,Ø,36.58,5.41,63.41,32.92,5.39,8.86,91.13,263,10,4,1,277,274
230,109.xml,1,1,1,1.75,0.31,98.24,1.75,0.31,0.63,99.36,313,1,0,0,314,314
231,71_f0b15_default.xml,25,20,Ø,11.42,2.18,88.57,10.28,2.17,3.3,96.69,1122,13,8,4,1143,1139
232,89.xml,17,14,Ø,10.44,2.07,89.55,10.44,2.06,3.73,96.26,806,14,0,3,820,823
233,48_086df_default.xml,4,5,Ø,5.26,0.62,94.73,4.21,0.62,0.93,99.06,637,2,2,0,641,639
234,165.xml,7,6,Ø,10.71,2.1,89.28,9.82,2.08,3.25,96.74,329,4,0,3,333,336
236,30_f10d3_default.xml,5,4,Ø,3.14,0.59,96.85,2.75,0.59,0.95,99.04,830,3,2,0,835,833
237,12_b82a4_default.xml,25,26,Ø,22.22,3.19,77.77,19.23,3.19,4.82,95.17,758,13,12,0,783,771
238,50_c0361_default.xml,28,32,Ø,16.66,2.11,83.33,15.36,2.11,3.3,96.69,1296,16,11,1,1323,1313
240,230.xml,35,25,Ø,13.36,3.22,86.63,12.83,3.18,4.88,95.11,1063,19,2,14,1084,1096
241,2012998.xml,6,7,Ø,2.82,0.37,97.17,2.62,0.37,0.56,99.43,1600,3,2,1,1605,1604
242,2012961.xml,16,14,Ø,6.25,1.04,93.75,6.25,1.04,1.5,98.49,1513,7,9,0,1529,1520
243,27_ff9f9_default.xml,31,30,Ø,15.3,2.26,84.69,14.28,2.26,3.27,96.72,1338,14,14,3,1366,1355
245,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_20.xml,12,16,Ø,7.65,0.87,92.34,6.45,0.87,1.16,98.83,1366,4,8,0,1378,1370
246,2012960.xml,29,26,Ø,11.15,1.87,88.84,10.72,1.87,3.08,96.91,1519,19,6,4,1544,1542
247,57.xml,6,6,Ø,7.31,1.31,92.68,7.31,1.31,2.4,97.59,450,5,1,0,456,455
248,225.xml,12,11,Ø,7.63,1.47,92.36,7.63,1.47,2.81,97.18,801,11,0,1,812,813
249,2012942.xml,39,19,Ø,7.59,2.47,92.4,6.8,2.46,4.21,95.78,1540,28,9,2,1577,1570
250,page_00083.xml,14,13,Ø,7.02,1.19,92.97,6.21,1.19,1.78,98.21,1158,7,5,2,1170,1167
251,2012967.xml,47,21,Ø,9.17,3.17,90.82,8.73,3.17,5.47,94.52,1435,35,12,0,1482,1470
252,2012902.xml,27,26,Ø,13.82,2.25,86.17,13.56,2.25,3.74,96.25,1169,18,8,1,1195,1188
253,page_107.xml,21,17,Ø,12.23,2.39,87.76,11.51,2.39,3.4,96.59,857,9,12,0,878,866
254,5_03975_default.xml,13,13,Ø,8.72,1.33,91.27,8.05,1.33,2.14,97.85,962,8,3,2,973,972
256,82.xml,21,17,Ø,11.64,2.55,88.35,11.64,2.54,4.68,95.31,803,18,1,2,822,823
257,90.xml,19,16,Ø,13.22,2.52,86.77,12.39,2.5,3.67,96.32,740,9,3,7,752,756
258,59.xml,5,5,Ø,6.09,1.09,93.9,5.48,1.09,1.74,98.25,453,3,0,2,456,458
259,18_7759b_default.xml,21,18,Ø,12.32,2.29,87.67,10.95,2.28,3.35,96.64,900,10,7,4,917,914
260,30_276dc_default.xml,13,16,Ø,8.6,0.97,91.39,7.79,0.97,1.35,98.64,1318,5,7,1,1330,1324
261,232.xml,17,15,Ø,12.5,2.54,87.5,12.08,2.53,4.14,95.85,654,11,2,4,667,669
262,43_0d1bc_default.xml,41,36,Ø,18.75,2.99,81.25,17.44,2.98,4.35,95.64,1333,19,17,5,1369,1357
263,69_5ab43_default.xml,29,31,Ø,16.14,2.42,83.85,13.8,2.41,3.81,96.18,1172,17,7,5,1196,1194
264,52.xml,20,15,Ø,11.02,2.56,88.97,11.02,2.54,4.17,95.82,765,13,1,6,779,784
265,69.xml,15,10,Ø,11.76,3.14,88.23,11.17,3.11,4.94,95.05,467,9,1,5,477,481
267,page_001.xml,11,10,Ø,9.34,1.55,90.65,8.41,1.55,2.25,97.74,697,5,4,2,706,704
269,10_17511_default.xml,37,37,Ø,19.07,2.76,80.92,17.26,2.75,4.14,95.85,1307,19,14,4,1340,1330
270,139.xml,6,5,Ø,8.92,1.86,91.07,8.92,1.85,3.07,96.92,318,4,0,2,322,324
