,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
59,284_bb953_default.xml,25,8,1013,3.44,1.69,96.55,3.01,1.68,2.82,97.17,1457,17,4,4,1478,1478
60,page_00493.xml,28,18,Ø,9.57,2.29,90.42,8.51,2.27,3.24,96.75,1202,12,4,12,1218,1226
61,53_8f47b_default.xml,19,24,Ø,20.86,2.58,79.13,16.52,2.57,3.11,96.88,720,4,11,4,735,728
62,2012901.xml,20,12,Ø,7.05,1.74,92.94,6.47,1.74,2.52,97.47,1125,9,9,2,1143,1136
63,2012908.xml,7,7,Ø,10.29,1.49,89.7,9.55,1.48,1.7,98.29,464,1,2,4,467,469
64,57_1757c_default.xml,70,47,Ø,30.32,6.86,69.67,23.87,6.71,9.89,90.1,972,34,13,23,1019,1029
65,page_00055.xml,23,7,Ø,3.8,1.96,96.19,3.8,1.96,3.05,96.94,1150,13,6,4,1169,1167
66,32_0ccc5_default.xml,6,8,Ø,5.19,0.68,94.8,4.22,0.68,0.8,99.19,867,1,3,2,871,870
67,39.xml,1,1,1,0.75,0.14,99.24,0.75,0.14,0.29,99.7,666,1,0,0,667,667
68,55.xml,4,4,Ø,3.03,0.54,96.96,3.03,0.54,0.82,99.17,725,2,2,0,729,727
69,46.xml,7,6,Ø,4.68,1.02,95.31,4.68,1.02,1.31,98.68,677,2,3,2,682,681
70,page_102.xml,9,11,Ø,9.01,1.19,90.98,7.78,1.19,1.32,98.67,746,1,6,2,753,749
71,101.xml,1,1,Ø,2.38,0.45,97.61,2.38,0.45,0.45,99.54,217,0,1,0,218,217
72,201.xml,2,2,88,3.92,0.65,96.07,3.92,0.65,0.65,99.34,305,0,1,1,306,306
73,page_103.xml,7,4,Ø,3.5,0.91,96.49,3.07,0.91,1.17,98.82,760,2,5,0,767,762
75,2012940.xml,21,13,407,5.41,1.36,94.58,5.0,1.36,2.32,97.67,1519,15,3,3,1537,1537
77,235.xml,8,8,Ø,4.14,0.77,95.85,4.14,0.77,0.86,99.13,1030,1,4,3,1035,1034
78,84_bab49_default.xml,23,18,Ø,10.58,2.04,89.41,10.29,2.03,2.56,97.43,1110,6,7,10,1123,1126
79,88.xml,5,5,Ø,3.75,0.64,96.24,3.38,0.64,0.77,99.22,774,1,3,1,778,776
82,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_18.xml,5,4,1203,1.95,0.36,98.04,1.7,0.36,0.58,99.41,1357,3,1,1,1361,1361
83,71.xml,2,2,Ø,2.5,0.45,97.5,2.5,0.45,0.45,99.54,442,0,2,0,444,442
85,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_22.xml,3,3,Ø,1.52,0.22,98.47,1.26,0.22,0.37,99.62,1334,2,1,0,1337,1336
86,121.xml,2,2,Ø,3.84,0.6,96.15,3.84,0.6,0.6,99.39,327,0,2,0,329,327
87,27_9c54d_default.xml,4,7,Ø,5.0,0.44,95.0,3.92,0.44,0.44,99.55,892,0,3,1,895,893
88,2012991.xml,19,7,Ø,3.21,1.28,96.78,2.98,1.27,1.94,98.05,1467,10,4,5,1481,1482
