,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
276,Epigrammata_1520_42_9201f_default.xml,3,4,Ø,2.77,0.31,97.22,2.08,0.31,0.31,99.68,961,0,3,0,964,961
277,desAutels_1550_bpt6k15272172_6.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,200,0,0,0,200,200
278,Epigrammata_1520_56_0c02b_default.xml,7,7,690,6.14,0.94,93.85,5.7,0.94,1.07,98.92,736,1,3,3,740,740
279,Guillet_1546_bpt6k3182270_51.xml,7,5,Ø,3.62,0.94,96.37,3.62,0.94,1.61,98.38,732,5,0,2,737,739
280,Sceve_1544_btv1b8609581h_93.xml,8,6,Ø,3.5,0.8,96.49,3.5,0.8,1.41,98.58,982,6,0,2,988,990
282,desRoches_1585_bpt6k706947_71.xml,1,1,1,0.65,0.1,99.34,0.65,0.1,0.21,99.78,912,1,0,0,913,913
283,Apologia_1534_14_295a5_default.xml,2,2,601,1.0,0.14,99.0,1.0,0.14,0.14,99.85,1343,0,1,1,1344,1344
284,Magny_1553_bpt6k8711906g_37.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1124,0,0,0,1124,1124
285,Guillet_1546_bpt6k3182270_65.xml,5,5,Ø,6.17,1.06,93.82,6.17,1.06,1.49,98.5,464,2,3,0,469,466
286,Labe_1555_btv1b86095588_79.xml,21,5,Ø,2.35,1.76,97.64,1.41,1.76,1.76,98.23,1171,0,20,1,1191,1172
287,Magny_1553_bpt6k8711906g_72.xml,1,1,1,0.51,0.09,99.48,0.51,0.09,0.18,99.81,1089,1,0,0,1090,1090
289,Labe_1555_btv1b86095588_127.xml,12,5,Ø,2.56,1.06,97.43,2.3,1.06,1.24,98.75,1115,2,8,2,1125,1119
290,Daneau_1-Tim_488_6c491_default.xml,33,15,Ø,5.95,2.12,94.04,5.35,2.1,2.92,97.07,1538,13,4,16,1555,1567
291,Guillet_1546_bpt6k3182270_11.xml,9,6,Ø,5.26,1.34,94.73,4.82,1.34,1.79,98.2,660,3,4,2,667,665
292,desRoches_1585_bpt6k706947_58.xml,8,7,Ø,4.06,0.82,95.93,4.06,0.81,1.42,98.57,969,6,0,2,975,977
293,test_2013288.xml,5,5,638,1.99,0.31,98.0,1.79,0.31,0.5,99.49,1588,3,1,1,1592,1592
294,Apologia_1534_51_5987c_default.xml,4,4,Ø,2.2,0.29,97.79,1.93,0.29,0.37,99.62,1342,1,3,0,1346,1343
295,Marquets_1562_bpt6k1521180m_25.xml,23,20,845,8.65,1.8,91.34,8.22,1.79,2.8,97.19,1258,13,5,5,1276,1276
296,Ad_Leonem_1514_8_c5baf_default.xml,1,2,Ø,2.22,0.17,97.77,1.66,0.17,0.17,99.82,562,0,1,0,563,562
297,Epigrammata_1520_54_bd621_default.xml,9,4,Ø,3.41,1.15,96.58,2.99,1.15,1.53,98.46,771,3,6,0,780,774
298,Epigrammata_1520_19_a979a_default.xml,3,1,Ø,0.71,0.33,99.28,0.71,0.33,0.45,99.54,884,1,0,2,885,887
302,Magny_1553_bpt6k8711906g_73.xml,5,3,Ø,1.53,0.46,98.46,1.53,0.45,0.64,99.35,1084,2,0,3,1086,1089
303,Labe_1555_btv1b86095588_67.xml,22,6,Ø,3.0,1.85,97.0,2.0,1.85,2.02,97.97,1161,2,20,0,1183,1163
304,Guillet_1546_bpt6k3182270_67.xml,5,3,Ø,3.33,1.04,96.66,3.33,1.04,1.66,98.33,475,3,0,2,478,480
305,Labe_1555_btv1b86095588_49.xml,20,4,Ø,1.8,1.65,98.19,0.9,1.65,1.65,98.34,1186,0,20,0,1206,1186
307,Labe_1555_btv1b86095588_66.xml,9,5,Ø,2.43,0.75,97.56,1.95,0.75,1.01,98.98,1178,3,6,0,1187,1181
308,Sceve_1544_btv1b8609581h_78.xml,16,9,Ø,5.2,1.62,94.79,5.2,1.61,2.61,97.38,974,10,0,6,984,990
309,Guillet_1546_bpt6k3182270_97.xml,9,9,Ø,6.29,1.07,93.7,5.94,1.07,1.66,98.33,832,5,1,3,838,840
310,Guillet_1546_bpt6k3182270_88.xml,16,8,Ø,5.79,1.94,94.2,5.79,1.93,3.25,96.74,809,11,1,4,821,824
311,Guillet_1546_bpt6k3182270_57.xml,5,4,Ø,4.87,1.09,95.12,4.87,1.09,1.96,98.03,451,4,1,0,456,455
312,Ad_Leonem_1514_4_760bb_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,912,0,0,0,912,912
313,T_M_Daneau_1_Tim_C1_2012946.xml,7,4,Ø,1.64,0.44,98.35,1.44,0.44,0.7,99.29,1558,4,1,2,1563,1564
314,Apologia_1534_36_6c6d4_default.xml,7,7,Ø,3.6,0.51,96.39,3.6,0.51,0.65,99.34,1363,2,5,0,1370,1365
315,Apologia_1534_86_74215_default.xml,1,2,Ø,1.83,0.13,98.16,1.37,0.13,0.13,99.86,726,0,1,0,727,726
317,Labe_1555_btv1b86095588_98.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1201,0,0,0,1201,1201
