,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
392,Labe_1555_btv1b86095588_95.xml,18,4,Ø,1.94,1.59,98.05,0.97,1.59,1.59,98.4,1114,0,18,0,1132,1114
393,T_M_Daneau_1_Tim_C2_2012970.xml,4,8,Ø,3.5,0.27,96.49,2.63,0.27,0.27,99.72,1448,0,1,3,1449,1451
394,Labe_1555_btv1b86095588_39.xml,18,4,Ø,2.01,1.69,97.98,1.0,1.69,1.69,98.3,1046,0,18,0,1064,1046
395,Labe_1555_btv1b86095588_93.xml,18,4,Ø,1.94,1.58,98.05,0.97,1.58,1.58,98.41,1121,0,18,0,1139,1121
396,Megander_Eph_page_107.xml,1,1,Ø,0.73,0.11,99.26,0.73,0.11,0.11,99.88,836,0,1,0,837,836
397,Apologia_1534_9_33729_default.xml,3,3,Ø,1.54,0.22,98.45,1.28,0.22,0.22,99.77,1312,0,3,0,1315,1312
398,T_M_Daneau_1_Tim_C1_2012900.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1122,0,0,0,1122,1122
399,Tyard_1549_btv1b8617188p_82.xml,1,2,Ø,1.5,0.13,98.49,1.12,0.13,0.13,99.86,737,0,1,0,738,737
400,Sceve_1544_btv1b8609581h_23.xml,2,1,4,0.96,0.35,99.03,0.96,0.35,0.35,99.64,567,0,1,1,568,568
401,Labe_1555_btv1b86095588_60.xml,5,1,Ø,0.52,0.45,99.47,0.26,0.45,0.45,99.54,1106,0,5,0,1111,1106
402,desRoches_1585_bpt6k706947_72.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,788,0,0,0,788,788
403,Guillet_1546_bpt6k3182270_75.xml,10,7,Ø,8.04,2.13,91.95,7.47,2.12,2.97,97.02,460,4,5,1,469,465
404,Labe_1555_btv1b86095588_96.xml,5,1,Ø,0.49,0.44,99.5,0.24,0.44,0.44,99.55,1127,0,5,0,1132,1127
405,Labe_1555_btv1b86095588_110.xml,6,5,Ø,3.47,0.71,96.52,3.47,0.71,0.83,99.16,830,1,3,2,834,833
407,Montenay_btv1b8609568n_99.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,324,0,0,0,324,324
408,Montenay_btv1b8609568n_71.xml,1,1,Ø,1.78,0.29,98.21,1.78,0.29,0.29,99.7,335,0,0,1,335,336
409,Sceve_1544_btv1b8609581h_24.xml,6,6,Ø,3.61,0.61,96.38,3.61,0.61,0.71,99.28,975,1,0,5,976,981
411,T_M_Daneau_1_Tim_C2_2012989.xml,7,11,Ø,5.41,0.49,94.58,4.43,0.49,0.63,99.36,1409,2,1,4,1412,1415
412,desAutels_1550_bpt6k15272172_54.xml,4,5,Ø,3.14,0.45,96.85,2.83,0.45,0.57,99.42,868,1,1,2,870,871
413,desRoches_1585_bpt6k706947_31.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,752,0,0,0,752,752
414,Marquets_1562_bpt6k1521180m_46.xml,5,5,Ø,2.2,0.38,97.79,2.2,0.38,0.45,99.54,1301,1,0,4,1302,1306
415,T_M_Daneau_1_Tim_C2_2013003.xml,1,2,Ø,1.09,0.08,98.9,0.81,0.08,0.08,99.91,1174,0,1,0,1175,1174
417,desRoches_1585_bpt6k706947_4.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,139,0,0,0,139,139
418,Bucer_Eph_b_90_fee98_default.xml,12,16,530,8.24,0.92,91.75,7.21,0.92,1.23,98.76,1285,4,4,4,1293,1293
419,Labe_1555_btv1b86095588_14.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1122,0,0,0,1122,1122
421,T_M_Daneau_1_Tim_C1_2012904.xml,4,5,Ø,2.94,0.35,97.05,2.64,0.35,0.44,99.55,1123,1,3,0,1127,1124
422,Guillet_1546_bpt6k3182270_55.xml,9,9,Ø,6.81,1.23,93.18,6.43,1.22,1.77,98.22,723,4,2,3,729,730
424,Montenay_btv1b8609568n_234.xml,6,6,Ø,3.22,0.59,96.77,3.22,0.58,0.59,99.4,1011,0,2,4,1013,1015
425,T_M_Daneau_1_Tim_C2_2012992.xml,4,5,Ø,2.34,0.27,97.65,2.11,0.27,0.48,99.51,1444,3,1,0,1448,1447
426,Magny_1553_bpt6k8711906g_47.xml,4,4,Ø,2.16,0.37,97.83,2.16,0.37,0.46,99.53,1074,1,0,3,1075,1078
427,Labe_1555_btv1b86095588_38.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1042,0,0,0,1042,1042
428,Marquets_1562_bpt6k1521180m_24.xml,8,8,Ø,3.58,0.65,96.41,3.13,0.64,0.73,99.26,1225,1,2,5,1228,1231
430,Tyard_1549_btv1b8617188p_18.xml,2,2,Ø,1.98,0.34,98.01,1.98,0.34,0.34,99.65,576,0,0,2,576,578
431,Guillet_1546_bpt6k3182270_59.xml,4,4,Ø,5.0,0.92,95.0,3.75,0.92,1.15,98.84,429,1,2,1,432,431
432,Labe_1555_btv1b86095588_107.xml,20,6,Ø,2.85,1.74,97.14,1.9,1.74,1.83,98.16,1124,1,19,0,1144,1125
433,Montenay_btv1b8609568n_101.xml,1,1,Ø,1.81,0.31,98.18,1.81,0.31,0.31,99.68,318,0,0,1,318,319
434,Magny_1553_bpt6k8711906g_29.xml,1,1,Ø,0.9,0.17,99.09,0.9,0.17,0.17,99.82,573,0,1,0,574,573
