,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
1030,Montenay_btv1b8609568n_228.xml,6,4,Ø,2.75,0.71,97.24,2.75,0.71,0.95,99.04,832,2,1,3,835,837
1031,Labe_1555_btv1b86095588_59.xml,19,4,Ø,1.98,1.64,98.01,0.99,1.64,1.64,98.35,1136,0,19,0,1155,1136
1032,Labe_1555_btv1b86095588_123.xml,7,6,Ø,3.24,0.64,96.75,3.24,0.63,0.82,99.17,1090,2,0,5,1092,1097
1033,Bucer_Eph_b_149_e44d1_default.xml,13,13,Ø,6.04,0.92,93.95,5.81,0.92,1.13,98.86,1392,3,8,2,1403,1397
1034,Epigrammata_1520_37_6e2eb_default.xml,6,6,Ø,4.58,0.71,95.41,4.19,0.71,1.07,98.92,831,3,1,2,835,836
1035,Guillet_1546_bpt6k3182270_43.xml,20,17,Ø,11.72,2.49,88.27,11.37,2.48,3.34,96.65,786,7,8,5,801,798
1037,desRoches_1585_bpt6k706947_35.xml,13,11,Ø,6.25,1.32,93.75,5.68,1.32,2.13,97.86,970,8,1,4,979,982
1038,T_M_Daneau_1_Tim_C1_2012899.xml,5,4,Ø,2.28,0.44,97.71,2.28,0.44,0.52,99.47,1131,1,1,3,1133,1135
1039,Guillet_1546_bpt6k3182270_95.xml,10,9,Ø,6.87,1.31,93.12,6.87,1.3,1.82,98.17,754,4,0,6,758,764
1040,Sceve_1544_btv1b8609581h_55.xml,8,7,Ø,6.48,1.39,93.51,5.55,1.38,1.9,98.09,569,3,3,2,575,574
1041,Marquets_1562_bpt6k1521180m_49.xml,16,13,Ø,5.72,1.24,94.27,5.72,1.23,1.54,98.45,1280,4,1,11,1285,1295
1042,Montenay_btv1b8609568n_191.xml,1,1,Ø,1.75,0.29,98.24,1.75,0.29,0.29,99.7,337,0,0,1,337,338
1043,Guillet_1546_bpt6k3182270_39.xml,3,2,Ø,1.51,0.44,98.48,1.51,0.44,0.74,99.25,670,2,0,1,672,673
1044,Magny_1553_bpt6k8711906g_19.xml,1,1,Ø,0.94,0.16,99.05,0.94,0.16,0.16,99.83,606,0,0,1,606,607
1045,Montenay_btv1b8609568n_195.xml,9,6,Ø,10.34,2.63,89.65,10.34,2.6,3.46,96.53,337,3,1,5,341,345
1046,Sceve_1544_btv1b8609581h_54.xml,24,16,Ø,9.75,2.52,90.24,9.45,2.48,3.3,96.69,943,8,1,15,952,966
1047,Labe_1555_btv1b86095588_73.xml,11,3,Ø,1.46,0.94,98.53,0.73,0.94,0.94,99.05,1149,0,11,0,1160,1149
1048,Sceve_1544_btv1b8609581h_9.xml,12,8,Ø,5.03,1.3,94.96,4.71,1.29,1.83,98.16,912,5,1,6,918,923
