,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
519,Sceve_1544_btv1b8609581h_31.xml,1,1,1,0.89,0.16,99.1,0.89,0.16,0.32,99.67,610,1,0,0,611,611
520,Magny_1553_bpt6k8711906g_63.xml,2,1,2,0.52,0.18,99.47,0.52,0.18,0.37,99.62,1073,2,0,0,1075,1075
521,Bucer_Eph_b_180_8a70d_default.xml,22,28,Ø,11.91,1.42,88.08,10.0,1.41,2.24,97.75,1530,13,5,4,1548,1547
522,Tyard_1549_btv1b8617188p_47.xml,1,1,1,0.79,0.14,99.2,0.79,0.14,0.28,99.71,711,1,0,0,712,712
525,Spiegel_1531_v2_bsb10149493_00618_full_1161__0_default.xml,10,5,Ø,1.19,0.35,98.8,1.07,0.35,0.63,99.36,2810,8,2,0,2820,2818
526,Epigrammata_1520_58_7ea4c_default.xml,1,1,1,0.89,0.12,99.1,0.89,0.12,0.25,99.74,777,1,0,0,778,778
527,desRoches_1585_bpt6k706947_44.xml,3,4,Ø,3.14,0.37,96.85,2.75,0.37,0.5,99.49,792,1,2,0,795,793
528,Apologia_1534_6_55c4f_default.xml,7,3,Ø,1.61,0.54,98.38,1.61,0.54,0.54,99.45,1279,0,7,0,1286,1279
529,Apologia_1534_68_2f81f_default.xml,2,4,1051,2.18,0.17,97.81,1.63,0.17,0.17,99.82,1162,0,1,1,1163,1163
530,T_M_Daneau_1_Tim_C2_2012966.xml,2,2,2,0.81,0.12,99.18,0.81,0.12,0.25,99.74,1549,2,0,0,1551,1551
531,Montenay_btv1b8609568n_171.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,368,0,0,0,368,368
532,Guillet_1546_bpt6k3182270_9.xml,22,11,Ø,23.4,7.69,76.59,22.34,7.69,12.02,87.97,264,13,9,0,286,277
533,Sceve_1544_btv1b8609581h_40.xml,3,3,3,1.67,0.3,98.32,1.67,0.3,0.61,99.38,966,3,0,0,969,969
534,Epigrammata_1520_57_83a75_default.xml,3,5,Ø,4.2,0.37,95.79,3.36,0.37,0.37,99.62,804,0,3,0,807,804
535,Megander_Eph_page_106.xml,5,5,5,4.03,0.62,95.96,4.03,0.62,1.24,98.75,796,5,0,0,801,801
536,Labe_1555_btv1b86095588_70.xml,1,1,1,0.47,0.08,99.52,0.47,0.08,0.17,99.82,1133,1,0,0,1134,1134
538,desRoches_1585_bpt6k706947_38.xml,1,1,Ø,0.57,0.1,99.42,0.57,0.1,0.1,99.89,993,0,1,0,994,993
539,Apologia_1534_73_b0927_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1183,0,0,0,1183,1183
540,Guillet_1546_bpt6k3182270_37.xml,4,3,35,4.05,0.93,95.94,4.05,0.93,0.93,99.06,424,0,2,2,426,426
541,Labe_1555_btv1b86095588_117.xml,9,2,Ø,1.01,0.81,98.98,0.76,0.81,0.9,99.09,1092,1,8,0,1101,1093
542,Apologia_1534_62_4300c_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1141,0,0,0,1141,1141
543,Guillet_1546_bpt6k3182270_17.xml,2,2,Ø,1.45,0.25,98.54,1.45,0.25,0.38,99.61,787,1,1,0,789,788
544,Labe_1555_btv1b86095588_85.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1161,0,0,0,1161,1161
545,T_M_Daneau_1_Tim_C2_2012994.xml,3,5,Ø,2.27,0.2,97.72,1.81,0.2,0.27,99.72,1441,1,2,0,1444,1442
546,Megander_Eph_page_101.xml,5,6,Ø,4.79,0.62,95.19,4.39,0.62,1.12,98.87,792,4,1,0,797,796
548,desRoches_1585_bpt6k706947_55.xml,1,1,Ø,0.86,0.14,99.13,0.86,0.14,0.14,99.85,684,0,0,1,684,685
549,Magny_1553_bpt6k8711906g_66.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1086,0,0,0,1086,1086
550,Sceve_1544_btv1b8609581h_11.xml,2,2,2,1.9,0.34,98.09,1.9,0.34,0.68,99.31,583,2,0,0,585,585
551,T_M_Daneau_1_Tim_C1_2012940.xml,5,4,Ø,1.56,0.3,98.43,1.56,0.3,0.49,99.5,1610,3,0,2,1613,1615
553,T_M_Daneau_1_Tim_C2_2012987.xml,4,5,Ø,2.1,0.25,97.89,1.89,0.25,0.38,99.61,1571,2,0,2,1573,1575
554,desRoches_1585_bpt6k706947_43.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,609,0,0,0,609,609
555,Guillet_1546_bpt6k3182270_72.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,457,0,0,0,457,457
556,Magny_1553_bpt6k8711906g_34.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1111,0,0,0,1111,1111
557,Montenay_btv1b8609568n_131.xml,3,3,Ø,4.68,0.83,95.31,4.68,0.83,1.38,98.61,358,2,1,0,361,360
558,desAutels_1550_bpt6k15272172_13.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,891,0,0,0,891,891
559,Daneau_1-Tim_312_bc383_default.xml,14,9,Ø,4.2,0.99,95.79,3.5,0.99,1.28,98.71,1389,4,8,2,1401,1395
560,Labe_1555_btv1b86095588_81.xml,1,1,Ø,0.48,0.08,99.51,0.48,0.08,0.08,99.91,1156,0,0,1,1156,1157
561,desRoches_1585_bpt6k706947_65.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,658,0,0,0,658,658
562,Montenay_btv1b8609568n_18.xml,1,1,Ø,0.63,0.11,99.36,0.63,0.11,0.11,99.88,902,0,1,0,903,902
563,Labe_1555_btv1b86095588_68.xml,6,2,Ø,1.0,0.52,98.99,0.75,0.52,0.6,99.39,1142,1,5,0,1148,1143
564,desAutels_1550_bpt6k15272172_11.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,950,0,0,0,950,950
565,Epigrammata_1520_41_4e2b7_default.xml,2,4,Ø,2.7,0.2,97.29,2.02,0.2,0.2,99.79,955,0,2,0,957,955
566,Tyard_1549_btv1b8617188p_74.xml,3,3,Ø,2.14,0.39,97.85,2.14,0.39,0.39,99.6,766,0,0,3,766,769
567,desRoches_1585_bpt6k706947_30.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,766,0,0,0,766,766
568,Guillet_1546_bpt6k3182270_52.xml,5,5,Ø,3.7,0.64,96.29,3.7,0.64,0.77,99.22,771,1,1,3,773,775
569,Magny_1553_bpt6k8711906g_51.xml,1,1,Ø,0.53,0.09,99.46,0.53,0.09,0.09,99.9,1075,0,1,0,1076,1075
570,Aretius_1-Tim_page_00083.xml,8,9,Ø,4.86,0.68,95.13,4.05,0.68,1.02,98.97,1160,4,4,0,1168,1164
571,desRoches_1585_bpt6k706947_66.xml,2,2,2,4.34,0.75,95.65,4.34,0.75,1.5,98.49,262,2,0,0,264,264
572,ode_normes_mss_Ariane_Pinche_AST_212_59_61.pdf_page_1.xml,69,43,Ø,28.28,7.78,71.71,27.3,7.71,11.39,88.6,825,34,27,8,886,867
573,T_M_Daneau_1_Tim_C2_2012963.xml,4,5,Ø,2.31,0.3,97.68,2.08,0.3,0.3,99.69,1314,0,3,1,1317,1315
575,Guillet_1546_bpt6k3182270_84.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,780,0,0,0,780,780
576,Labe_1555_btv1b86095588_30.xml,5,1,Ø,0.45,0.44,99.54,0.22,0.44,0.44,99.55,1116,0,5,0,1121,1116
577,Magny_1553_bpt6k8711906g_62.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1093,0,0,0,1093,1093
578,Montenay_btv1b8609568n_143.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,356,0,0,0,356,356
579,Montenay_btv1b8609568n_187.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,318,0,0,0,318,318
580,T_M_Daneau_1_Tim_C2_2012958.xml,3,6,Ø,2.39,0.18,97.59,1.79,0.18,0.18,99.81,1609,0,3,0,1612,1609
581,Epigrammata_1520_48_086df_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,642,0,0,0,642,642
582,Apologia_1534_64_c564d_default.xml,3,4,88,2.19,0.25,97.8,1.92,0.25,0.33,99.66,1177,1,1,1,1179,1179
583,Magny_1553_bpt6k8711906g_76.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1061,0,0,0,1061,1061
584,Sceve_1544_btv1b8609581h_16.xml,8,9,Ø,5.42,0.79,94.57,5.12,0.79,0.98,99.01,1004,2,0,6,1006,1012
585,Labe_1555_btv1b86095588_32.xml,1,2,Ø,1.03,0.08,98.96,0.77,0.08,0.08,99.91,1117,0,1,0,1118,1117
586,T_M_Daneau_1_Tim_C1_2012943.xml,7,11,Ø,4.54,0.45,95.45,3.71,0.45,0.65,99.34,1529,3,4,0,1536,1532
587,Magny_1553_bpt6k8711906g_30.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1120,0,0,0,1120,1120
588,Montenay_btv1b8609568n_89.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,343,0,0,0,343,343
589,Apologia_1534_78_3ccff_default.xml,1,2,Ø,1.14,0.08,98.85,0.85,0.08,0.08,99.91,1169,0,1,0,1170,1169
590,Sceve_1544_btv1b8609581h_88.xml,1,1,1,0.55,0.09,99.44,0.55,0.09,0.19,99.8,1034,1,0,0,1035,1035
591,Labe_1555_btv1b86095588_121.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,318,0,0,0,318,318
592,Tyard_1549_btv1b8617188p_28.xml,3,3,Ø,2.0,0.37,98.0,2.0,0.37,0.62,99.37,800,2,0,1,802,803
593,desRoches_1585_bpt6k706947_32.xml,1,1,1,0.58,0.1,99.41,0.58,0.1,0.2,99.79,972,1,0,0,973,973
594,Apologia_1534_70_4dfd3_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1159,0,0,0,1159,1159
595,desAutels_1550_bpt6k15272172_25.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,984,0,0,0,984,984
596,Ad_Sodales_1518_00000173.xml,6,10,Ø,7.69,0.66,92.3,6.15,0.66,0.88,99.11,900,2,4,0,906,902
597,T_M_Daneau_1_Tim_C2_2012980.xml,1,2,Ø,0.8,0.06,99.19,0.6,0.06,0.06,99.93,1585,0,0,1,1585,1586
598,Apologia_1534_85_1dd5a_default.xml,1,2,Ø,1.11,0.08,98.88,0.83,0.08,0.08,99.91,1181,0,1,0,1182,1181
599,Montenay_btv1b8609568n_57.xml,1,1,Ø,1.56,0.27,98.43,1.56,0.27,0.27,99.72,361,0,0,1,361,362
600,Magny_1553_bpt6k8711906g_16.xml,5,7,Ø,4.32,0.54,95.67,3.39,0.54,0.65,99.34,910,1,4,0,915,911
601,T_M_Daneau_1_Tim_C2_2012955.xml,12,9,Ø,3.61,0.79,96.38,3.21,0.79,0.99,99.0,1501,3,5,4,1509,1508
602,Tyard_1549_btv1b8617188p_72.xml,1,1,Ø,0.81,0.13,99.18,0.81,0.13,0.13,99.86,723,0,0,1,723,724
603,Montenay_btv1b8609568n_75.xml,1,1,Ø,1.61,0.28,98.38,1.61,0.28,0.28,99.71,353,0,1,0,354,353
604,Magny_1553_bpt6k8711906g_28.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,621,0,0,0,621,621
605,Labe_1555_btv1b86095588_21.xml,3,1,Ø,0.51,0.29,99.48,0.25,0.29,0.29,99.7,1018,0,0,3,1018,1021
607,Guillet_1546_bpt6k3182270_101.xml,1,1,1,2.27,0.42,97.72,2.27,0.42,0.85,99.14,232,1,0,0,233,233
608,Labe_1555_btv1b86095588_72.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1151,0,0,0,1151,1151
609,Tyard_1549_btv1b8617188p_46.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,766,0,0,0,766,766
610,Guillet_1546_bpt6k3182270_40.xml,2,3,Ø,3.26,0.37,96.73,2.71,0.37,0.55,99.44,538,1,0,1,539,540
611,Epigrammata_1520_55_5090d_default.xml,1,1,1,0.99,0.14,99.0,0.99,0.14,0.28,99.71,703,1,0,0,704,704
612,T_M_Daneau_1_Tim_C2_2012979.xml,6,9,795,3.71,0.39,96.28,3.09,0.39,0.52,99.47,1512,2,2,2,1516,1516
613,Marquets_1562_bpt6k1521180m_21.xml,3,3,Ø,1.39,0.23,98.6,1.39,0.23,0.38,99.61,1287,2,0,1,1289,1290
614,Labe_1555_btv1b86095588_94.xml,6,2,Ø,0.97,0.52,99.02,0.72,0.52,0.61,99.38,1131,1,5,0,1137,1132
