,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
121,desAutels_1550_bpt6k15272172_9.xml,1,1,1,0.61,0.1,99.38,0.61,0.1,0.21,99.78,933,1,0,0,934,934
123,Montenay_btv1b8609568n_151.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,333,0,0,0,333,333
124,Sceve_1544_btv1b8609581h_38.xml,21,14,Ø,8.38,2.09,91.61,8.38,2.07,3.34,96.65,990,13,0,8,1003,1011
126,Montenay_btv1b8609568n_227.xml,7,5,12,4.46,1.08,95.53,4.46,1.08,1.85,98.14,639,5,1,1,645,645
127,Sceve_1544_btv1b8609581h_17.xml,16,12,Ø,7.01,1.63,92.98,7.01,1.62,2.52,97.47,970,9,0,7,979,986
128,index_Lambert_2012909.xml,20,30,Ø,17.75,1.69,82.24,13.6,1.67,2.01,97.98,1172,4,7,9,1183,1185
129,Tyard_1549_btv1b8617188p_30.xml,17,9,Ø,6.38,2.19,93.61,6.38,2.17,3.18,96.81,765,8,0,9,773,782
130,Epigrammata_1520_58_7ea4c_default.xml,3,2,Ø,1.78,0.38,98.21,1.78,0.38,0.63,99.36,782,2,0,1,784,785
131,Magny_1553_bpt6k8711906g_28.xml,3,3,152,2.77,0.47,97.22,2.31,0.47,0.63,99.36,629,1,1,1,631,631
132,Tyard_1549_btv1b8617188p_37.xml,5,4,Ø,3.41,0.75,96.58,3.41,0.75,1.21,98.78,655,3,0,2,658,660
133,Labe_1555_btv1b86095588_50.xml,5,1,Ø,0.49,0.43,99.5,0.24,0.43,0.43,99.56,1146,0,5,0,1151,1146
134,Montenay_btv1b8609568n_161.xml,1,1,1,1.69,0.29,98.3,1.69,0.29,0.59,99.4,333,1,0,0,334,334
135,Tyard_1549_btv1b8617188p_19.xml,1,1,1,0.96,0.16,99.03,0.96,0.16,0.32,99.67,610,1,0,0,611,611
136,Epigrammata_1520_62_ff52f_default.xml,20,19,Ø,12.83,2.07,87.16,11.14,2.05,2.77,97.22,952,7,4,9,963,968
137,Magny_1553_bpt6k8711906g_16.xml,2,3,Ø,1.85,0.21,98.14,1.54,0.21,0.21,99.78,924,0,2,0,926,924
138,Epigrammata_1520_51_cd4b0_default.xml,5,4,Ø,3.25,0.62,96.74,2.84,0.61,0.86,99.13,802,2,1,2,805,806
139,Guillet_1546_bpt6k3182270_80.xml,3,2,Ø,1.56,0.42,98.43,1.17,0.42,0.42,99.57,708,0,2,1,710,709
140,Montenay_btv1b8609568n_99.xml,1,1,1,1.75,0.29,98.24,1.75,0.29,0.59,99.4,336,1,0,0,337,337
141,Bucer_Eph_b_62_cadb9_default.xml,65,41,Ø,18.06,4.32,81.93,15.85,4.24,6.35,93.64,1467,33,4,28,1504,1528
142,Epigrammata_1520_2_4bf64_default.xml,9,3,19,18.75,7.69,81.25,18.75,7.56,11.6,88.39,110,5,2,2,117,117
143,Tyard_1549_btv1b8617188p_56.xml,5,3,Ø,2.52,0.7,97.47,2.52,0.7,0.98,99.01,703,2,1,2,706,707
144,Sceve_1544_btv1b8609581h_88.xml,9,6,Ø,3.33,0.86,96.66,3.33,0.86,1.44,98.55,1029,6,0,3,1035,1038
145,Tyard_1549_btv1b8617188p_76.xml,9,5,Ø,3.81,1.26,96.18,3.81,1.26,1.81,98.18,705,4,1,4,710,713
146,Sceve_1544_btv1b8609581h_92.xml,13,9,Ø,5.11,1.28,94.88,5.11,1.28,2.06,97.93,1002,8,0,5,1010,1015
148,Montenay_btv1b8609568n_8.xml,5,4,561,2.59,0.54,97.4,2.59,0.54,0.87,99.12,913,3,1,1,917,917
150,Marquets_1562_bpt6k1521180m_39.xml,9,9,Ø,5.8,0.96,94.19,5.16,0.96,1.39,98.6,924,4,1,4,929,932
151,Montenay_btv1b8609568n_215.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,311,0,0,0,311,311
152,desRoches_1585_bpt6k706947_42.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,804,0,0,0,804,804
155,Epigrammata_1520_3_e7096_default.xml,9,5,Ø,3.18,0.85,96.81,3.18,0.85,1.32,98.67,1044,5,0,4,1049,1053
156,desAutels_1550_bpt6k15272172_40.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,929,0,0,0,929,929
157,Apologia_1534_80_94f42_default.xml,3,3,Ø,1.68,0.25,98.31,1.68,0.25,0.34,99.65,1168,1,2,0,1171,1169
158,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_23.xml,2,1,Ø,0.48,0.14,99.51,0.48,0.14,0.21,99.78,1393,1,0,1,1394,1395
159,Magny_1553_bpt6k8711906g_34.xml,3,2,Ø,0.99,0.26,99.0,0.99,0.26,0.44,99.55,1112,2,0,1,1114,1115
160,Tyard_1549_btv1b8617188p_75.xml,3,3,Ø,2.45,0.39,97.54,2.45,0.39,0.66,99.33,750,2,0,1,752,753
161,T_M_Daneau_1_Tim_C1_2012946.xml,8,5,Ø,2.05,0.51,97.94,1.85,0.51,0.76,99.23,1559,4,0,4,1563,1567
162,desAutels_1550_bpt6k15272172_55.xml,1,1,1,0.74,0.12,99.25,0.74,0.12,0.24,99.75,801,1,0,0,802,802
163,T_M_Daneau_1_Tim_C2_2012981.xml,4,7,Ø,2.99,0.25,97.0,2.35,0.25,0.25,99.74,1560,0,1,3,1561,1563
164,desRoches_1585_bpt6k706947_70.xml,2,2,2,1.41,0.24,98.58,1.41,0.24,0.48,99.51,823,2,0,0,825,825
165,Labe_1555_btv1b86095588_27.xml,22,7,Ø,3.16,1.82,96.83,2.03,1.82,1.9,98.09,1183,1,21,0,1205,1184
166,Sceve_1544_btv1b8609581h_22.xml,22,13,Ø,7.83,2.21,92.16,7.53,2.19,3.38,96.61,979,12,0,10,991,1001
167,Marquets_1562_bpt6k1521180m_26.xml,7,6,Ø,2.76,0.53,97.23,2.76,0.53,0.83,99.16,1308,4,0,3,1312,1315
168,Sceve_1544_btv1b8609581h_71.xml,9,5,Ø,4.06,1.43,95.93,3.65,1.42,2.05,97.94,623,4,0,5,627,632
169,Magny_1553_bpt6k8711906g_71.xml,5,3,Ø,1.6,0.46,98.39,1.6,0.46,0.73,99.26,1079,3,0,2,1082,1084
170,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_13.xml,7,4,Ø,2.07,0.55,97.92,2.07,0.54,0.78,99.21,1268,3,1,3,1272,1274
171,Guillet_1546_bpt6k3182270_39.xml,5,4,21,2.98,0.71,97.01,2.98,0.71,1.13,98.86,697,3,1,1,701,701
173,Polybe_1530_Polybe_1530.xml,25,11,Ø,12.08,4.0,87.91,10.43,3.99,6.18,93.81,601,14,10,1,625,616
174,Guillet_1546_bpt6k3182270_47.xml,27,16,Ø,12.69,4.14,87.3,12.69,4.08,6.3,93.69,634,15,2,10,651,659
175,Magny_1553_bpt6k8711906g_65.xml,4,4,Ø,1.92,0.35,98.07,1.68,0.35,0.43,99.56,1133,1,0,3,1134,1137
177,T_M_Daneau_1_Tim_C1_2012936.xml,7,6,Ø,2.4,0.44,97.59,2.0,0.44,0.62,99.37,1581,3,1,3,1585,1587
178,Guillet_1546_bpt6k3182270_55.xml,18,11,Ø,8.14,2.32,91.85,8.14,2.3,3.69,96.3,762,11,1,6,774,779
179,Labe_1555_btv1b86095588_11.xml,12,8,Ø,29.62,9.59,70.37,27.77,9.44,13.98,86.01,115,6,4,2,125,123
180,desRoches_1585_bpt6k706947_66.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,266,0,0,0,266,266
181,Marquets_1562_bpt6k1521180m_32.xml,3,3,Ø,2.65,0.43,97.34,2.65,0.43,0.72,99.27,687,2,1,0,690,689
182,Montenay_btv1b8609568n_57.xml,1,1,Ø,1.56,0.27,98.43,1.56,0.27,0.27,99.72,362,0,0,1,362,363
183,Montenay_btv1b8609568n_6.xml,12,11,Ø,5.52,0.98,94.47,5.27,0.98,1.39,98.6,1210,5,4,3,1219,1218
184,Labe_1555_btv1b86095588_36.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1146,0,0,0,1146,1146
186,Labe_1555_btv1b86095588_56.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1172,0,0,0,1172,1172
187,Apologia_1534_58_f831b_default.xml,3,3,Ø,2.12,0.32,97.87,2.12,0.32,0.42,99.57,929,1,2,0,932,930
188,T_M_Daneau_1_Tim_C2_2012991.xml,8,4,Ø,1.7,0.52,98.29,1.7,0.52,0.91,99.08,1516,6,0,2,1522,1524
189,Montenay_btv1b8609568n_13.xml,8,7,33,5.26,1.03,94.73,4.88,1.03,1.8,98.19,765,6,1,1,772,772
190,Marquets_1562_bpt6k1521180m_13.xml,10,9,Ø,7.62,1.36,92.37,7.62,1.36,2.58,97.41,722,9,0,1,731,732
